,name,lat,lng,vicinity,open_now,rating,price_level,icon,id,photos,place_id,reference,scope,types,borough
10,Famous Famiglia Pizzeria,40.841695,-73.939042,"4020 Broadway, New York",True,4.2,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,be03cd81cb161b1790e70806107c1014e06be969,"[{'height': 715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109917233364555262607/photos"">Famous Famiglia Pizzeria</a>'], 'photo_reference': 'CmRaAAAAbkJf5txIurKBkmKLau5MtfoP8hr8Tqqo0D9joE610VZIQh5w2WKwvPNF0IcmlK1DWA7vTPT_7e4At8N6b5mwUT2Lr5n9yK8iafweswz1tx8itsrycXq-D6G9v2-ox9hNEhATvDuAFjulfLEG0KefJartGhRg6xOCiPq7yYbeJPYSWQxs3qEKww', 'width': 901}]",ChIJj88NOJz2wokRl_fXWQJcyHY,CmRRAAAAduJNA1Q8ztT9cXOpxsTigswQAUEbXCThQy4005UoNw9lqGExDt5huKsoRxs35ysBx4wau_vj-LebN-CvNlE2WpmyfBculTNPYvS-HhKRUKEM4JgRVMg0LedPVO6U5P8UEhD9m1DSoTbVjlsvMHu-HSdQGhRAL0booIRYEZ9HLL8D7pM0PJzVuQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",NYC
11,Exclusive Pizza,40.850903,-73.938777,"810 West 181st Street, New York",True,4.1,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d0b2c8071be08f36613110e1d8faec92780d8970,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116884414338806823213/photos"">Hannah Ney</a>'], 'photo_reference': 'CmRaAAAAFiYZT50k_1BrYJCHjcGLas0giJ_by2QWdtFnss2jN_yT18DeiyFXoyCn4b86B6WBz5qwSjtNPwyYzwW_F4YultMNwsK3VKj6o2gKpQoD5yiEHLbdY8vfVpGiXmwYlIJ7EhArvIIUORGll4twxlTjr0PbGhSKT2IhUgWtPpvmE9MoUXNrd4W-wQ', 'width': 2560}]",ChIJs3ai4aD2wokRKigK-52fGi8,CmRRAAAAp4zCfjEResYYuaFyY7VtwpBDQI6CotKRXTYDb6Xm4rOnTj3rZ-uWOD42FaAGu9clxKzqIGG09tUhohgpbFtItL755fbVOWX8dm1wVB3qeQwjQmSH_zVDQfw29kXtFnIsEhDYkVnqYionevqA2kWReRoWGhQCbHkNtV_6-AH3r1mOOCua0bCZJA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
12,R T,40.8420552,-73.9357965,"2236 Amsterdam Avenue, New York",,4.9,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b24062982339f949f5658aee773b260d18b9f331,,ChIJybgaVCf0wokRd_L96eje8cs,CmRSAAAAX2vuX8-r2vuRCXtsraVQc3W3ytExCRY0Tq8MKT5LBdwIVU6wVKZVCxkiOb1--hBLohrb71mf7IZsAIfAOA3GnJrTphXT-d3NAbx6EQ3SVqRCfvHl0MY9RYUyEnBVTzhqEhDJfccIhXud3HYWbNF6ahEJGhQHF60HZnO428otG3KgL_w7lbfY5A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
13,Grandma's Pizza,40.85146200000001,-73.928232,"2551 Amsterdam Avenue, New York",False,3.5,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,685591c0ed7476231a5a8705001df344ce66e6db,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111539009628113316414/photos"">Yaakov Altman</a>'], 'photo_reference': 'CmRaAAAAdUm-XfJQ7A8uV-KthKS8GyMPdx5VGw4tRKNkIFRdGd2J1WY4_oubYaZ9gill6dvxUKWlTkfEqhf56XZmLuG8USHcd5ZDR6OmDvU6fvpVvmB75W9U6JnCU23YrLWw1ePuEhBwup8xdMiT4ZeqbpVgvY4xGhQMi1R0RKRDTQrrIbzJ_HwZCKL3-Q', 'width': 3024}]",ChIJD9zk3Bv0wokRow6VpBf34_Q,CmRSAAAAb0u66451xtMhLFeSwELZUSShaELVIxWSO5R2rxiBD1SdL-8BBMQoTN956NnlvogHkcTP2Z8qo32wCdby5U_O3Bz_sszKPvVtl_znUaQzopQABH0Ovi-mLyR40gdvrNJSEhBHFiSlbJoHKF5j59vGIqDhGhRflRRQiL9EhdVTi0439V3FnuPjmQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
14,Victorio's Pizza Plus,40.8236502,-73.9443206,"348 West 145th Street, New York",False,4.0,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f4e818249278a78f716fd36e0879cabf8223ddd5,"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102244846038482649743/photos"">Victorio&#39;s Pizza Plus</a>'], 'photo_reference': 'CmRaAAAAKTCF2tmxRuwsPuDL7l1rIk_itXIR2cRnPVHN2nf_vIXndfVJFHreg20D5dWL2GFXRg1Y7xMfAxq8AOZYpnYfmbs7e75EakBccZOjWGChTzAO7xD-RHKDlRviaKUxDR94EhCSW4XJkIlCAenosMhXT_C-GhQVOn2BS3_tiLzW8M1YAVUc3euOXQ', 'width': 1000}]",ChIJiyAjh3v2wokRK5YBozpXT38,CmRRAAAAP8i7oFVUfnSAYmC9ay-Gx4g2yF6HZ90jQolcBQvd5XVYr_1lEiqtNRLY4gi0DbYEgpYnjWcPtgcPAHbgnI2HuRtc7br4SAoGgjp3-shH7qIhG02r1OsFpgOTSV1bonFEEhCfdDD_NB3obXJ-f9KQz1UZGhSSwu9H9nEGv1_kUFgE98cr5e8Nrg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",NYC
15,Charlie's Pizza,40.8520015,-73.9320616,"1501 Saint Nicholas Avenue, New York",False,4.7,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,38eaeb2592068d25b40ef67cca3368d7336569fe,"[{'height': 1391, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114856614788978489862/photos"">Charlie&#39;s Pizza</a>'], 'photo_reference': 'CmRaAAAAsciNtfqudLf5zeGyVI8boZIsR7-fzRxXHPd7U6hpMO0hvQJ4vpuLUUy5JoBUSjTc5ZBwQyUe9k_66WQEsQaeUwLi0IbXas7G-syz99LBUS9BgbAR_4k7B7f0xazXVZevEhDYPC6wxBEtW-TQaN388Wy6GhSIWfC8J9fMqbTDDhdnlJb4UN_kWg', 'width': 1600}]",ChIJe8uSJBz0wokRHGW3APASVC4,CmRRAAAAQkpfo1QFLdLW4LnUf96C2hJ-BALw9R00x_C1iMK0mKNrakeGUXZcAeE_pxVfYK52wWTDaXDnFrQ6znJdNXLW12sWX_4_wsrqF03A_TnAC7km5bjB_1wbONrCir_8h7BnEhBZZ4Z2rLLxZhMIj9SpfZ6HGhQRLb_XfGn2kbJaICiXrcRfgn3i1A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
16,Uptown Slices,40.8160783,-73.94620069999999,"272 West 135th Street, New York",False,4.6,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,4dbab7f848f09f7e51782b3056c4a5b9888c65d9,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114480012962010365968/photos"">Uptown Slices</a>'], 'photo_reference': 'CmRaAAAA_BR2068A0gaBPOYKl4RjlvDgEgaCVKhXY2A1YMCa-moTrsSYv_l_JLSqs_nt6w0WAY8E8dMnzuIJAh0Q0leiOs6xArFSqGh9VSSRz95Pzu5BKV-qhvzyoEIiuR33s5YFEhBvvWg72fQv27TqBIvYBRjPGhSZS2CNMl6gPLW37I3dLrT7fFVWhg', 'width': 1728}]",ChIJs-lvtnH2wokRvcfXQhQcrHA,CmRRAAAAKRy8PmsW08yh96_fR3_tyyQF83zC6UuS7aDPWihCHbD_EF8djED7u4WZ58mdr2Lpe-HyxFWCKpnyL-nLy_hViLW5brNk2_VhInnxsYibwoaEOeJPWhJFAg-TLd5y9ZqUEhDqkGAJHZ1uL2Im5AuL3WCwGhTlMdbO6hUrj64MruEiiUvxwl1pOA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
17,Lake Como Pizza,40.8513871,-73.9282399,"2549 Amsterdam Avenue, New York",False,4.2,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d0f5e067b7eba855d13a79996b723258b953bbe4,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113339255782403283866/photos"">Aaron Glance</a>'], 'photo_reference': 'CmRaAAAAdeAJL0L4GnuvKC6BGFSWShORhNQ4NmtFJWIijGhAG7irQP6ci1GYEOBYKDVl4MeZFtK-DTsLtVtoBXQ8PcGiiLS2SVHuB73-L1SN2pmg0aHSI2OSJOLoSaonCXrYSdbHEhCaneAuI9xy0IZJY8E6NBPrGhQEoLfP6t0_Ej2dfxjXn-YBDjbJJA', 'width': 4032}]",ChIJE56A3Bv0wokR94vB9-W10Xs,CmRRAAAAgOnGZdn3ukGqCGrXZ_TtbiggKeb2D6Yg1zQ0YZx3D79H2hpMRGQLeRPZhxYP_-ZCL6S5qKIUqtAL-RDPV_KzvAupnGe9aVR1D6wyRw0LkHdYeq_u608xQV3tQkaS8CJ4EhAl6DpxfVLx47jngJrHVOCbGhQRK2sPMjHBG4LwJjjj-koEmTC3eA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
18,Oui Oui Crepes and Pizza,40.8102426,-73.9469439,"2143 Adam Clayton Powell Junior Boulevard, New York",True,4.1,1.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,442606caa4e17b45e05daedd981dfad9f5473bab,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105928811308006518314/photos"">Minh T. Nguyen</a>'], 'photo_reference': 'CmRaAAAA1_baDU3aG2Lib2Df5CwhpheEtWnXX42Ci3QzniggnU3DqPgRkNzFjnSqgEWuyGSp5rP9qsANghS5O9DM_r7k52HxyiiPTNLGHfW0Zj5c1Gm_SxV2a8SATMdGCpV8aXfyEhCyBGg-bmhSf0Kz3igPhgj3GhS5QhX6I9kpSTAyFeR16QjYEm4XzQ', 'width': 3840}]",ChIJE-UdjXL2wokRBW9_cyDBXdA,CmRSAAAAaoyYDzmp4_5GXX_06dqz4jLN1k2YZcvakgSC2m3lwm-AHQ6n97TpfhJjrL_nzHutKLLZGATakgqHQsowMq-iaD4fvVpsZ902IClq2pFGvH_NPf52qgmm7DQ9XXOBktVoEhD_gZNegXj3NUdBn3A7W3TlGhT8Ct5g_ve2QojPqeNl24-koKK77g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
19,Flaco's Pizza,40.83688599999999,-73.94244599999999,"3876 Broadway, New York",True,3.9,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d6df4af073614bdfe888c0f003cec3642d88b27e,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114341509273728642179/photos"">Flaco&#39;s Pizza</a>'], 'photo_reference': 'CmRaAAAAnaPTwbbS2OHU1c2ESj45uhrm15R9vfvhgR5YIWDf9TJ00yuqJFICcbSaLUuA3a0w86zeiVck3ScTb0pV3qzvN3c-p-BxdshalkMTjSIe-HUFGXkT-HYdQ2mqvz91j_BlEhD4EpZmS_NEbUKuRU0rcP0zGhSKULONawIx4SSfRA-fX_fWpDEELw', 'width': 1920}]",ChIJ3Wu2ooT2wokRztqh0rqMNeY,CmRSAAAAJ5nxfXF7Bp-4ZQNsE-Bl204aSAhHbw6sD-y4YCmGq5XqGvSpYhhMk1owQoMmrG3Oanb3HqShXSG8cfDemPuVR8fyIpJ1QZ4AiPpBx_awLEWwOjn43JNXQ0vu73uLHlovEhDUh3HGT4CVuAjFLawBMfboGhQKxO39Y2wzy_RQlC3d7RyYAVr4zA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",NYC
20,George's Pizzaria,40.8504649,-73.937064,"726 West 181st Street, New York",True,3.9,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d743b5094baf0a10e960da0c81468c4ff353f710,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109758675178811670353/photos"">Santiago Uraga</a>'], 'photo_reference': 'CmRaAAAAHG4Emc8klxTTec8SjBT-7C98cizSxp3BLcirebNLf1wa3x0M3yrwOYVMOw0lmD54ls0pCvnHJ4IAYpqpUviesr-w-hGu4ZOq2Uv1dUtmVKEUalhDMSsy2NB9eAjpdRV9EhAShIXdf2w3cHIvEW_O7GIkGhSmLOkv61gkTh-h8mjPJy9B_n4m9g', 'width': 3264}]",ChIJZbt1k6D2wokRfmjsJlDAzh0,CmRRAAAAjygL-c8G-o34uC1tru6D8HMREvEw-s12EVj4Q_yJfvrEomKVrLiDCH-NCW-EcaiavTSXYyPizP0u53Mc2S5V63iVkJx4GlVU4n2SUvpLM4gSl-wcvy1arRN4iOEScSJwEhDSUx19lsU2J7oyWxfbvZYKGhT8y4ZeHM4NdbyA8lW4ZxjMUDNSHA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
21,Fresco's Pizzeria,40.85514980000001,-73.9372571,"804 West 187th Street, New York",True,4.6,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f7243141d28034da7c1a7eb41d6a9cd6366f6939,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106464166885622340602/photos"">Mike Schmitty</a>'], 'photo_reference': 'CmRaAAAAsc-PuvkJEZvZYQVFXLYfavZuTupQyenTDf-JmOgKqwFNIna1-6UX6xeQT26IEYkYIrtCMpt8lw0anT6WMjmgXEcsFsYkUbNSFHVsZJvSR6RXM8HImDCVKeiAp-G1WKHZEhBk3FtsTexQjCjUyUsZjeS2GhQIXLwSHV1I1fGmdB_RFwhh8YEIjg', 'width': 4032}]",ChIJs_iXmaf2wokRBO0CGvrb_4Y,CmRSAAAA9WZsACH1_GqtYAjdZ7Tf1k3WeFgin-Yezitr9Jp7cW--bQGTLy8c7O5hJK6wq98mH6is_Ei-_M89zvWGxqBpr9uGZf49GXisueWmX8ImyE1-iLGYrGxGA4yy0bZAPn-aEhCNiFwIx-UQ5p1Ik7dXjzxEGhQ_p4V3BJBVzHGt6mg4Xn9sBOpR4w,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",NYC
